    INFO    baseapp01 1001 7001  [2017-11-22 00:00:31 550] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 00:02:36 549] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 00:03:01 548] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 00:05:31 547] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 00:08:01 545] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 00:08:26 546] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 00:10:06 545] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 00:10:56 543] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 00:13:51 542] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 00:15:31 541] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 00:16:46 540] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 00:17:11 540] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 00:20:56 537] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 00:22:11 536] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 00:23:26 535] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 00:25:06 535] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 00:28:26 533] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 00:28:51 532] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 00:29:41 532] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 00:32:11 529] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 00:32:36 496] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 00:34:41 494] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 00:35:31 494] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 00:38:01 492] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 00:41:46 490] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 00:42:36 489] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 00:43:51 488] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 00:44:41 487] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 00:47:36 486] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 00:48:26 485] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 00:49:41 484] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 00:50:56 483] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 00:51:46 484] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 00:55:06 481] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 00:56:46 481] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 00:57:11 479] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 00:59:41 477] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 01:00:31 477] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 01:03:51 476] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 01:05:31 475] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 01:07:36 472] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 01:08:51 471] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 01:12:11 469] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 01:13:01 469] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 01:13:51 469] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 01:15:06 467] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 01:16:21 466] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 01:16:46 466] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 01:20:56 463] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 01:21:46 463] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 01:23:51 461] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 01:25:06 461] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 01:25:56 460] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 01:28:26 459] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 01:30:06 490] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 01:30:31 490] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 01:33:51 489] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 01:36:21 454] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 01:38:01 452] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 01:39:16 451] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 01:39:41 451] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 01:42:11 449] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 01:43:51 448] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 01:46:21 446] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 01:47:36 445] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 01:48:01 445] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 01:49:41 445] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 01:50:56 444] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 01:54:16 442] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 01:55:56 441] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 01:57:36 439] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 01:58:51 404] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 02:02:11 403] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 02:02:36 402] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 02:03:51 402] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 02:07:36 399] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 02:08:51 397] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 02:09:16 397] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 02:10:06 396] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 02:10:56 397] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 02:11:21 397] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 02:15:31 393] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 02:17:36 391] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 02:18:51 391] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 02:20:06 390] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 02:22:36 388] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 02:24:16 387] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 02:25:06 386] - Baseapp::onBackupEntityCellData: DdzAvatar(10010), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 02:28:01 386] - Baseapp::onBackupEntityCellData: DdzAvatar(10011), 1 bytes.
    INFO    baseapp01 1001 7001  [2017-11-22 02:28:51 385] - Baseapp::onBackupEntityCellData: DdzRoom(10022), 1 bytes.
